ID_Matricula,ID_Estudiante,ID_Curso,Correo,FechaNacimiento,DepNacimiento,TipoDocumento,NumeroDocumento,AnioLectivo
63,73,3,correo.est63@edunotas.edu,2007-06-06,Colombia,CC,10000073,2025
64,74,4,correo.est64@edunotas.edu,2007-02-01,Colombia,CC,10000074,2025
65,75,1,correo.est65@edunotas.edu,2005-12-26,Colombia,CC,10000075,2025
66,76,10,correo.est66@edunotas.edu,2006-10-21,Colombia,CC,10000076,2025
67,77,7,correo.est67@edunotas.edu,2005-06-03,Colombia,CC,10000077,2025
68,78,9,correo.est68@edunotas.edu,2007-06-15,Colombia,CC,10000078,2025
69,79,1,correo.est69@edunotas.edu,2006-04-27,Colombia,CC,10000079,2025
70,81,3,correo.est70@edunotas.edu,2004-10-23,Colombia,CC,10000081,2025
71,83,4,correo.est71@edunotas.edu,2007-02-08,Colombia,CC,10000083,2025
72,86,1,correo.est72@edunotas.edu,2004-05-10,Colombia,CC,10000086,2025
73,88,7,correo.est73@edunotas.edu,2006-02-20,Colombia,CC,10000088,2025
74,89,8,correo.est74@edunotas.edu,2005-12-19,Colombia,CC,10000089,2025
75,90,5,correo.est75@edunotas.edu,2004-11-02,Colombia,CC,10000090,2025
76,91,4,correo.est76@edunotas.edu,2007-08-11,Colombia,CC,10000091,2025
77,92,9,correo.est77@edunotas.edu,2004-07-19,Colombia,CC,10000092,2025
78,93,4,correo.est78@edunotas.edu,2005-12-24,Colombia,CC,10000093,2025
79,94,9,correo.est79@edunotas.edu,2008-05-02,Colombia,CC,10000094,2025
80,96,2,correo.est80@edunotas.edu,2004-08-03,Colombia,CC,10000096,2025
81,97,4,correo.est81@edunotas.edu,2004-04-23,Colombia,CC,10000097,2025
82,98,8,correo.est82@edunotas.edu,2004-10-15,Colombia,CC,10000098,2025
83,100,2,correo.est83@edunotas.edu,2008-05-14,Colombia,CC,10000100,2025
84,102,8,correo.est84@edunotas.edu,2008-01-18,Colombia,CC,10000102,2025
85,103,8,correo.est85@edunotas.edu,2007-12-08,Colombia,CC,10000103,2025
86,105,8,correo.est86@edunotas.edu,2005-11-04,Colombia,CC,10000105,2025
87,107,7,correo.est87@edunotas.edu,2008-03-15,Colombia,CC,10000107,2025
88,108,6,correo.est88@edunotas.edu,2008-03-16,Colombia,CC,10000108,2025
89,109,5,correo.est89@edunotas.edu,2007-01-03,Colombia,CC,10000109,2025
90,110,1,correo.est90@edunotas.edu,2004-07-21,Colombia,CC,10000110,2025
91,111,10,correo.est91@edunotas.edu,2007-08-10,Colombia,CC,10000111,2025
92,113,1,correo.est92@edunotas.edu,2004-10-23,Colombia,CC,10000113,2025
93,115,8,correo.est93@edunotas.edu,2004-02-17,Colombia,CC,10000115,2025
94,117,4,correo.est94@edunotas.edu,2005-06-21,Colombia,CC,10000117,2025
95,120,7,correo.est95@edunotas.edu,2007-12-28,Colombia,CC,10000120,2025
96,121,2,correo.est96@edunotas.edu,2008-01-13,Colombia,CC,10000121,2025
97,122,2,correo.est97@edunotas.edu,2004-09-11,Colombia,CC,10000122,2025
98,123,4,correo.est98@edunotas.edu,2007-01-01,Colombia,CC,10000123,2025
99,124,8,correo.est99@edunotas.edu,2004-01-04,Colombia,CC,10000124,2025
100,125,1,correo.est100@edunotas.edu,2005-03-05,Colombia,CC,10000125,2025
101,126,2,correo.est101@edunotas.edu,2005-12-13,Colombia,CC,10000126,2025
102,127,9,correo.est102@edunotas.edu,2005-10-02,Colombia,CC,10000127,2025
103,129,6,correo.est103@edunotas.edu,2004-12-02,Colombia,CC,10000129,2025
104,130,2,correo.est104@edunotas.edu,2004-09-03,Colombia,CC,10000130,2025
105,131,7,correo.est105@edunotas.edu,2008-04-26,Colombia,CC,10000131,2025
106,133,5,correo.est106@edunotas.edu,2008-02-01,Colombia,CC,10000133,2025
107,134,7,correo.est107@edunotas.edu,2007-07-20,Colombia,CC,10000134,2025
108,137,9,correo.est108@edunotas.edu,2007-02-02,Colombia,CC,10000137,2025
109,138,2,correo.est109@edunotas.edu,2006-10-10,Colombia,CC,10000138,2025
110,139,2,correo.est110@edunotas.edu,2004-07-08,Colombia,CC,10000139,2025
111,140,3,correo.est111@edunotas.edu,2008-03-24,Colombia,CC,10000140,2025
112,141,3,correo.est112@edunotas.edu,2006-02-19,Colombia,CC,10000141,2025
113,142,7,correo.est113@edunotas.edu,2006-03-19,Colombia,CC,10000142,2025
114,143,6,correo.est114@edunotas.edu,2008-11-13,Colombia,CC,10000143,2025
115,144,2,correo.est115@edunotas.edu,2007-08-05,Colombia,CC,10000144,2025
116,145,2,correo.est116@edunotas.edu,2004-08-01,Colombia,CC,10000145,2025
117,146,3,correo.est117@edunotas.edu,2006-05-28,Colombia,CC,10000146,2025
118,147,5,correo.est118@edunotas.edu,2008-07-11,Colombia,CC,10000147,2025
119,149,6,correo.est119@edunotas.edu,2004-03-23,Colombia,CC,10000149,2025
120,150,5,correo.est120@edunotas.edu,2005-12-03,Colombia,CC,10000150,2025
121,151,9,correo.est121@edunotas.edu,2005-06-27,Colombia,CC,10000151,2025
122,152,5,correo.est122@edunotas.edu,2008-01-11,Colombia,CC,10000152,2025
123,154,8,correo.est123@edunotas.edu,2006-10-27,Colombia,CC,10000154,2025
124,155,6,correo.est124@edunotas.edu,2004-03-10,Colombia,CC,10000155,2025
125,156,3,correo.est125@edunotas.edu,2006-11-25,Colombia,CC,10000156,2025
126,157,3,correo.est126@edunotas.edu,2007-04-08,Colombia,CC,10000157,2025
127,158,6,correo.est127@edunotas.edu,2005-04-04,Colombia,CC,10000158,2025
128,159,8,correo.est128@edunotas.edu,2006-05-17,Colombia,CC,10000159,2025
129,160,8,correo.est129@edunotas.edu,2007-02-28,Colombia,CC,10000160,2025
130,161,4,correo.est130@edunotas.edu,2005-01-05,Colombia,CC,10000161,2025
131,163,1,correo.est131@edunotas.edu,2007-02-23,Colombia,CC,10000163,2025
132,164,4,correo.est132@edunotas.edu,2008-11-05,Colombia,CC,10000164,2025
133,165,1,correo.est133@edunotas.edu,2005-02-25,Colombia,CC,10000165,2025
134,166,9,correo.est134@edunotas.edu,2007-08-14,Colombia,CC,10000166,2025
135,167,8,correo.est135@edunotas.edu,2006-05-17,Colombia,CC,10000167,2025
136,168,3,correo.est136@edunotas.edu,2005-09-24,Colombia,CC,10000168,2025
137,169,8,correo.est137@edunotas.edu,2008-01-16,Colombia,CC,10000169,2025
138,170,4,correo.est138@edunotas.edu,2008-01-02,Colombia,CC,10000170,2025
139,172,5,correo.est139@edunotas.edu,2008-07-08,Colombia,CC,10000172,2025
140,173,1,correo.est140@edunotas.edu,2008-07-14,Colombia,CC,10000173,2025
141,174,7,correo.est141@edunotas.edu,2007-07-06,Colombia,CC,10000174,2025
142,176,10,correo.est142@edunotas.edu,2007-01-21,Colombia,CC,10000176,2025
143,177,3,correo.est143@edunotas.edu,2008-07-21,Colombia,CC,10000177,2025
144,178,5,correo.est144@edunotas.edu,2008-10-03,Colombia,CC,10000178,2025
145,179,1,correo.est145@edunotas.edu,2006-12-16,Colombia,CC,10000179,2025
146,181,2,correo.est146@edunotas.edu,2007-05-27,Colombia,CC,10000181,2025
147,182,10,correo.est147@edunotas.edu,2006-05-27,Colombia,CC,10000182,2025
148,183,6,correo.est148@edunotas.edu,2008-05-24,Colombia,CC,10000183,2025
149,184,5,correo.est149@edunotas.edu,2007-06-15,Colombia,CC,10000184,2025
150,185,8,correo.est150@edunotas.edu,2004-04-23,Colombia,CC,10000185,2025
151,186,8,correo.est151@edunotas.edu,2004-06-07,Colombia,CC,10000186,2025
152,187,5,correo.est152@edunotas.edu,2005-08-17,Colombia,CC,10000187,2025
153,188,10,correo.est153@edunotas.edu,2005-11-27,Colombia,CC,10000188,2025
154,189,3,correo.est154@edunotas.edu,2008-08-25,Colombia,CC,10000189,2025
155,190,4,correo.est155@edunotas.edu,2005-03-26,Colombia,CC,10000190,2025
156,191,8,correo.est156@edunotas.edu,2007-07-11,Colombia,CC,10000191,2025
157,192,5,correo.est157@edunotas.edu,2008-11-10,Colombia,CC,10000192,2025
158,193,3,correo.est158@edunotas.edu,2007-05-25,Colombia,CC,10000193,2025
159,194,10,correo.est159@edunotas.edu,2006-07-23,Colombia,CC,10000194,2025
160,195,5,correo.est160@edunotas.edu,2006-11-09,Colombia,CC,10000195,2025
161,196,1,correo.est161@edunotas.edu,2005-12-01,Colombia,CC,10000196,2025
162,199,1,correo.est162@edunotas.edu,2005-11-04,Colombia,CC,10000199,2025
163,200,5,correo.est163@edunotas.edu,2005-07-14,Colombia,CC,10000200,2025
164,201,6,correo.est164@edunotas.edu,2008-05-12,Colombia,CC,10000201,2025
165,202,4,correo.est165@edunotas.edu,2008-09-06,Colombia,CC,10000202,2025
166,203,4,correo.est166@edunotas.edu,2005-04-10,Colombia,CC,10000203,2025
167,204,6,correo.est167@edunotas.edu,2005-04-12,Colombia,CC,10000204,2025
168,205,7,correo.est168@edunotas.edu,2007-09-26,Colombia,CC,10000205,2025
169,206,3,correo.est169@edunotas.edu,2005-09-20,Colombia,CC,10000206,2025
170,207,7,correo.est170@edunotas.edu,2006-08-22,Colombia,CC,10000207,2025
171,208,6,correo.est171@edunotas.edu,2006-10-21,Colombia,CC,10000208,2025
172,209,3,correo.est172@edunotas.edu,2004-04-27,Colombia,CC,10000209,2025
173,210,10,correo.est173@edunotas.edu,2008-01-04,Colombia,CC,10000210,2025
174,211,4,correo.est174@edunotas.edu,2005-11-15,Colombia,CC,10000211,2025
175,212,7,correo.est175@edunotas.edu,2004-10-03,Colombia,CC,10000212,2025
176,213,6,correo.est176@edunotas.edu,2007-08-01,Colombia,CC,10000213,2025
177,214,2,correo.est177@edunotas.edu,2006-02-04,Colombia,CC,10000214,2025
178,215,2,correo.est178@edunotas.edu,2006-12-25,Colombia,CC,10000215,2025
179,216,9,correo.est179@edunotas.edu,2004-11-13,Colombia,CC,10000216,2025
180,217,3,correo.est180@edunotas.edu,2005-02-12,Colombia,CC,10000217,2025
181,218,4,correo.est181@edunotas.edu,2008-05-06,Colombia,CC,10000218,2025
182,219,9,correo.est182@edunotas.edu,2004-02-12,Colombia,CC,10000219,2025
183,220,9,correo.est183@edunotas.edu,2007-12-13,Colombia,CC,10000220,2025
184,221,6,correo.est184@edunotas.edu,2004-10-25,Colombia,CC,10000221,2025
185,222,2,correo.est185@edunotas.edu,2007-04-20,Colombia,CC,10000222,2025
186,224,8,correo.est186@edunotas.edu,2006-01-12,Colombia,CC,10000224,2025
187,225,8,correo.est187@edunotas.edu,2008-03-04,Colombia,CC,10000225,2025
188,227,6,correo.est188@edunotas.edu,2004-01-21,Colombia,CC,10000227,2025
189,228,10,correo.est189@edunotas.edu,2008-02-02,Colombia,CC,10000228,2025
190,230,1,correo.est190@edunotas.edu,2008-05-10,Colombia,CC,10000230,2025
191,231,4,correo.est191@edunotas.edu,2004-01-05,Colombia,CC,10000231,2025
192,232,8,correo.est192@edunotas.edu,2007-04-05,Colombia,CC,10000232,2025
193,233,1,correo.est193@edunotas.edu,2007-06-13,Colombia,CC,10000233,2025
194,234,10,correo.est194@edunotas.edu,2006-03-15,Colombia,CC,10000234,2025
195,235,7,correo.est195@edunotas.edu,2005-09-01,Colombia,CC,10000235,2025
196,237,9,correo.est196@edunotas.edu,2005-07-28,Colombia,CC,10000237,2025
197,238,4,correo.est197@edunotas.edu,2005-07-26,Colombia,CC,10000238,2025
198,239,8,correo.est198@edunotas.edu,2007-12-08,Colombia,CC,10000239,2025
199,240,2,correo.est199@edunotas.edu,2004-05-08,Colombia,CC,10000240,2025
200,241,2,correo.est200@edunotas.edu,2004-08-11,Colombia,CC,10000241,2025
201,242,4,correo.est201@edunotas.edu,2008-09-28,Colombia,CC,10000242,2025
202,243,8,correo.est202@edunotas.edu,2004-05-04,Colombia,CC,10000243,2025
203,244,5,correo.est203@edunotas.edu,2005-07-24,Colombia,CC,10000244,2025
204,245,5,correo.est204@edunotas.edu,2005-10-08,Colombia,CC,10000245,2025
205,246,1,correo.est205@edunotas.edu,2007-11-26,Colombia,CC,10000246,2025
206,248,5,correo.est206@edunotas.edu,2007-02-10,Colombia,CC,10000248,2025
207,249,4,correo.est207@edunotas.edu,2008-12-07,Colombia,CC,10000249,2025
208,250,9,correo.est208@edunotas.edu,2004-07-16,Colombia,CC,10000250,2025
209,251,5,correo.est209@edunotas.edu,2005-12-18,Colombia,CC,10000251,2025
210,253,10,correo.est210@edunotas.edu,2006-05-28,Colombia,CC,10000253,2025
211,254,1,correo.est211@edunotas.edu,2006-09-10,Colombia,CC,10000254,2025
212,255,8,correo.est212@edunotas.edu,2006-04-18,Colombia,CC,10000255,2025
213,256,10,correo.est213@edunotas.edu,2006-08-11,Colombia,CC,10000256,2025
214,257,3,correo.est214@edunotas.edu,2008-10-16,Colombia,CC,10000257,2025
215,258,3,correo.est215@edunotas.edu,2006-06-27,Colombia,CC,10000258,2025
216,259,10,correo.est216@edunotas.edu,2007-10-18,Colombia,CC,10000259,2025
217,260,10,correo.est217@edunotas.edu,2008-03-06,Colombia,CC,10000260,2025
218,261,5,correo.est218@edunotas.edu,2006-06-23,Colombia,CC,10000261,2025
219,262,5,correo.est219@edunotas.edu,2004-12-21,Colombia,CC,10000262,2025
220,263,5,correo.est220@edunotas.edu,2005-02-01,Colombia,CC,10000263,2025
221,264,1,correo.est221@edunotas.edu,2004-05-21,Colombia,CC,10000264,2025
222,265,10,correo.est222@edunotas.edu,2008-07-04,Colombia,CC,10000265,2025
223,266,2,correo.est223@edunotas.edu,2007-08-17,Colombia,CC,10000266,2025
224,267,6,correo.est224@edunotas.edu,2006-06-07,Colombia,CC,10000267,2025
225,268,10,correo.est225@edunotas.edu,2004-12-12,Colombia,CC,10000268,2025
226,269,8,correo.est226@edunotas.edu,2008-09-13,Colombia,CC,10000269,2025
227,270,7,correo.est227@edunotas.edu,2005-12-14,Colombia,CC,10000270,2025
228,271,10,correo.est228@edunotas.edu,2005-04-08,Colombia,CC,10000271,2025
229,272,10,correo.est229@edunotas.edu,2006-04-24,Colombia,CC,10000272,2025
230,273,1,correo.est230@edunotas.edu,2004-12-22,Colombia,CC,10000273,2025
231,274,3,correo.est231@edunotas.edu,2006-12-12,Colombia,CC,10000274,2025
232,275,4,correo.est232@edunotas.edu,2008-06-28,Colombia,CC,10000275,2025
233,276,3,correo.est233@edunotas.edu,2006-07-23,Colombia,CC,10000276,2025
234,277,4,correo.est234@edunotas.edu,2007-08-22,Colombia,CC,10000277,2025
235,278,4,correo.est235@edunotas.edu,2004-03-27,Colombia,CC,10000278,2025
236,279,6,correo.est236@edunotas.edu,2005-05-12,Colombia,CC,10000279,2025
237,280,9,correo.est237@edunotas.edu,2007-01-04,Colombia,CC,10000280,2025
238,281,4,correo.est238@edunotas.edu,2004-12-27,Colombia,CC,10000281,2025
239,282,2,correo.est239@edunotas.edu,2004-08-12,Colombia,CC,10000282,2025
240,283,2,correo.est240@edunotas.edu,2007-04-22,Colombia,CC,10000283,2025
241,284,4,correo.est241@edunotas.edu,2006-09-07,Colombia,CC,10000284,2025
242,285,7,correo.est242@edunotas.edu,2005-05-27,Colombia,CC,10000285,2025
243,286,10,correo.est243@edunotas.edu,2005-02-11,Colombia,CC,10000286,2025
244,287,2,correo.est244@edunotas.edu,2006-07-19,Colombia,CC,10000287,2025
245,288,5,correo.est245@edunotas.edu,2006-04-18,Colombia,CC,10000288,2025
246,289,8,correo.est246@edunotas.edu,2008-08-03,Colombia,CC,10000289,2025
247,290,8,correo.est247@edunotas.edu,2004-04-11,Colombia,CC,10000290,2025
248,292,10,correo.est248@edunotas.edu,2005-06-23,Colombia,CC,10000292,2025
249,293,9,correo.est249@edunotas.edu,2008-02-02,Colombia,CC,10000293,2025
250,295,6,correo.est250@edunotas.edu,2006-09-25,Colombia,CC,10000295,2025
251,296,3,correo.est251@edunotas.edu,2006-07-06,Colombia,CC,10000296,2025
252,297,8,correo.est252@edunotas.edu,2005-10-14,Colombia,CC,10000297,2025
253,299,5,correo.est253@edunotas.edu,2005-11-25,Colombia,CC,10000299,2025
254,300,4,correo.est254@edunotas.edu,2004-07-03,Colombia,CC,10000300,2025
255,301,3,correo.est255@edunotas.edu,2004-11-20,Colombia,CC,10000301,2025
256,302,10,correo.est256@edunotas.edu,2005-09-14,Colombia,CC,10000302,2025
257,303,9,correo.est257@edunotas.edu,2007-09-10,Colombia,CC,10000303,2025
258,304,3,correo.est258@edunotas.edu,2007-08-11,Colombia,CC,10000304,2025
259,306,2,correo.est259@edunotas.edu,2006-04-13,Colombia,CC,10000306,2025
260,307,8,correo.est260@edunotas.edu,2005-01-23,Colombia,CC,10000307,2025
261,308,10,correo.est261@edunotas.edu,2007-12-12,Colombia,CC,10000308,2025
262,309,1,correo.est262@edunotas.edu,2007-07-20,Colombia,CC,10000309,2025
263,310,10,correo.est263@edunotas.edu,2004-11-21,Colombia,CC,10000310,2025
264,311,3,correo.est264@edunotas.edu,2008-06-28,Colombia,CC,10000311,2025
265,313,7,correo.est265@edunotas.edu,2008-06-19,Colombia,CC,10000313,2025
266,314,5,correo.est266@edunotas.edu,2006-02-14,Colombia,CC,10000314,2025
267,315,5,correo.est267@edunotas.edu,2008-04-07,Colombia,CC,10000315,2025
268,317,2,correo.est268@edunotas.edu,2004-02-11,Colombia,CC,10000317,2025
269,320,7,correo.est269@edunotas.edu,2008-06-10,Colombia,CC,10000320,2025
270,322,1,correo.est270@edunotas.edu,2005-07-24,Colombia,CC,10000322,2025
271,323,3,correo.est271@edunotas.edu,2004-09-02,Colombia,CC,10000323,2025
272,324,7,correo.est272@edunotas.edu,2004-12-08,Colombia,CC,10000324,2025
273,325,7,correo.est273@edunotas.edu,2005-03-08,Colombia,CC,10000325,2025
274,326,6,correo.est274@edunotas.edu,2004-09-11,Colombia,CC,10000326,2025
275,327,3,correo.est275@edunotas.edu,2005-10-22,Colombia,CC,10000327,2025
276,328,2,correo.est276@edunotas.edu,2007-06-13,Colombia,CC,10000328,2025
277,329,2,correo.est277@edunotas.edu,2005-12-02,Colombia,CC,10000329,2025
278,331,8,correo.est278@edunotas.edu,2005-10-17,Colombia,CC,10000331,2025
279,333,8,correo.est279@edunotas.edu,2004-11-22,Colombia,CC,10000333,2025
280,334,5,correo.est280@edunotas.edu,2008-05-22,Colombia,CC,10000334,2025
281,335,6,correo.est281@edunotas.edu,2006-05-28,Colombia,CC,10000335,2025
282,336,4,correo.est282@edunotas.edu,2004-01-15,Colombia,CC,10000336,2025
283,337,5,correo.est283@edunotas.edu,2006-11-25,Colombia,CC,10000337,2025
284,339,8,correo.est284@edunotas.edu,2007-08-10,Colombia,CC,10000339,2025
285,340,2,correo.est285@edunotas.edu,2006-07-27,Colombia,CC,10000340,2025
286,341,6,correo.est286@edunotas.edu,2004-09-07,Colombia,CC,10000341,2025
287,342,2,correo.est287@edunotas.edu,2007-04-07,Colombia,CC,10000342,2025
288,343,3,correo.est288@edunotas.edu,2006-04-28,Colombia,CC,10000343,2025
289,346,4,correo.est289@edunotas.edu,2007-04-02,Colombia,CC,10000346,2025
290,347,6,correo.est290@edunotas.edu,2007-12-12,Colombia,CC,10000347,2025
291,348,8,correo.est291@edunotas.edu,2008-07-13,Colombia,CC,10000348,2025
292,351,1,correo.est292@edunotas.edu,2007-01-06,Colombia,CC,10000351,2025
293,353,6,correo.est293@edunotas.edu,2004-08-24,Colombia,CC,10000353,2025
294,354,7,correo.est294@edunotas.edu,2007-07-02,Colombia,CC,10000354,2025
295,355,7,correo.est295@edunotas.edu,2008-11-22,Colombia,CC,10000355,2025
296,356,6,correo.est296@edunotas.edu,2004-09-12,Colombia,CC,10000356,2025
297,357,3,correo.est297@edunotas.edu,2007-02-02,Colombia,CC,10000357,2025
298,358,7,correo.est298@edunotas.edu,2008-10-14,Colombia,CC,10000358,2025
299,360,6,correo.est299@edunotas.edu,2006-12-07,Colombia,CC,10000360,2025
300,361,3,correo.est300@edunotas.edu,2007-05-16,Colombia,CC,10000361,2025
301,363,5,correo.est301@edunotas.edu,2004-11-23,Colombia,CC,10000363,2025
302,365,5,correo.est302@edunotas.edu,2004-03-22,Colombia,CC,10000365,2025
303,366,5,correo.est303@edunotas.edu,2004-11-25,Colombia,CC,10000366,2025
304,367,5,correo.est304@edunotas.edu,2005-10-14,Colombia,CC,10000367,2025
305,368,9,correo.est305@edunotas.edu,2006-09-28,Colombia,CC,10000368,2025
306,369,4,correo.est306@edunotas.edu,2006-10-26,Colombia,CC,10000369,2025
307,370,7,correo.est307@edunotas.edu,2004-01-01,Colombia,CC,10000370,2025
308,371,2,correo.est308@edunotas.edu,2008-11-22,Colombia,CC,10000371,2025
309,372,3,correo.est309@edunotas.edu,2004-09-16,Colombia,CC,10000372,2025
310,373,2,correo.est310@edunotas.edu,2007-11-07,Colombia,CC,10000373,2025
311,374,9,correo.est311@edunotas.edu,2008-02-19,Colombia,CC,10000374,2025
312,375,4,correo.est312@edunotas.edu,2008-11-21,Colombia,CC,10000375,2025
313,376,3,correo.est313@edunotas.edu,2007-02-19,Colombia,CC,10000376,2025
314,378,2,correo.est314@edunotas.edu,2008-10-19,Colombia,CC,10000378,2025
315,379,4,correo.est315@edunotas.edu,2008-02-20,Colombia,CC,10000379,2025
316,380,9,correo.est316@edunotas.edu,2007-10-05,Colombia,CC,10000380,2025
317,381,2,correo.est317@edunotas.edu,2007-06-01,Colombia,CC,10000381,2025
318,382,2,correo.est318@edunotas.edu,2008-02-15,Colombia,CC,10000382,2025
319,384,6,correo.est319@edunotas.edu,2007-07-24,Colombia,CC,10000384,2025
320,386,1,correo.est320@edunotas.edu,2004-09-02,Colombia,CC,10000386,2025
321,387,9,correo.est321@edunotas.edu,2007-12-15,Colombia,CC,10000387,2025
322,388,6,correo.est322@edunotas.edu,2005-03-14,Colombia,CC,10000388,2025
323,389,3,correo.est323@edunotas.edu,2006-10-26,Colombia,CC,10000389,2025
324,391,2,correo.est324@edunotas.edu,2006-03-22,Colombia,CC,10000391,2025
325,392,9,correo.est325@edunotas.edu,2008-04-06,Colombia,CC,10000392,2025
326,393,9,correo.est326@edunotas.edu,2004-07-28,Colombia,CC,10000393,2025
327,395,7,correo.est327@edunotas.edu,2006-12-03,Colombia,CC,10000395,2025
328,396,8,correo.est328@edunotas.edu,2007-04-03,Colombia,CC,10000396,2025
329,397,4,correo.est329@edunotas.edu,2004-10-25,Colombia,CC,10000397,2025
330,399,8,correo.est330@edunotas.edu,2006-10-08,Colombia,CC,10000399,2025
